media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias_rating,MBFC_source,label_3class
ABS-CBN,https://news.abs-cbn.com,mediascopeAll/ABS-CBN.png,2026-06-03 17:42:04,,HIGH,1,LEAST BIASED,,HIGH
ABT Associates,https://abtassociates.com,mediascopeAll/ABT_Associates.png,2026-06-03 17:43:09,,HIGH,1,LEFT-CENTER,,HIGH
APM Reports,https://apmreports.org,mediascopeAll/APM_Reports.png,2026-06-03 17:42:22,USA,HIGH,1,LEFT-CENTER,,HIGH
ATL Standard,http://atlstandard.com,mediascopeAll/ATL_Standard.png,2026-06-20 19:59:43,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
AV Club,https://avclub.com,mediascopeAll/AV_Club.png,2026-06-03 17:43:08,USA,HIGH,1,LEFT-CENTER,,HIGH
Aberdeen American News,https://aberdeennews.com,mediascopeAll/Aberdeen_American_News.png,2026-06-03 17:43:56,USA,HIGH,1,LEFT-CENTER,,HIGH
Abilene Reporter-News,https://reporternews.com,mediascopeAll/Abilene_Reporter-News.png,2026-06-03 17:44:25,USA,HIGH,1,LEFT-CENTER,,HIGH
Accuracy in Media,https://aim.org,mediascopeAll/Accuracy_in_Media.png,2026-06-08 16:40:23,USA,MIXED,,RIGHT,,MIXED
Act.TV,https://act.tv,mediascopeAll/Act.TV.png,2026-06-08 16:40:37,USA,MOSTLY FACTUAL,,LEFT,,HIGH
Adams County Times,http://adamscountytimes.com,mediascopeAll/Adams_County_Times.png,2026-06-20 19:37:19,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Addiction.News,https://addiction.news,mediascopeAll/Addiction.News.png,2026-06-03 17:44:00,USA,VERY LOW,0,RIGHT,,LOW
Advocates for Self-Government,https://theadvocates.org,mediascopeAll/Advocates_for_Self-Government.png,2026-06-08 16:41:20,USA,MOSTLY FACTUAL,,RIGHT-CENTER,,HIGH
Adweek,https://adweek.com,mediascopeAll/Adweek.png,2026-06-03 22:16:04,USA,HIGH,1,LEAST BIASED,,HIGH
Aeon,https://aeon.co,mediascopeAll/Aeon.png,2026-06-03 17:44:29,,HIGH,1,LEFT-CENTER,,HIGH
Affinity Magazine,https://affinitymagazine.us,mediascopeAll/Affinity_Magazine.png,2026-06-08 16:41:39,USA,MIXED,,LEFT-CENTER,,MIXED
African Arguments,https://africanarguments.org,mediascopeAll/African_Arguments.png,2026-06-03 17:45:28,,HIGH,1,LEFT-CENTER,,HIGH
AgricultureDive,https://agriculturedive.com,mediascopeAll/AgricultureDive.png,2026-06-03 17:45:01,USA,HIGH,1,LEAST BIASED,,HIGH
Ahsland Times-Gazette,https://times-gazette.com,mediascopeAll/Ahsland_Times-Gazette.png,2026-06-03 17:49:56,USA,HIGH,1,LEFT-CENTER,,HIGH
Air Force Times,https://airforcetimes.com,mediascopeAll/Air_Force_Times.png,2026-06-03 17:50:12,USA,HIGH,1,LEAST BIASED,,HIGH
Airwars,https://airwars.org,mediascopeAll/Airwars.png,2026-06-03 17:45:52,,HIGH,1,LEAST BIASED,,HIGH
Akron Beacon Journal,https://beaconjournal.com,mediascopeAll/Akron_Beacon_Journal.png,2026-06-03 17:51:18,USA,HIGH,1,LEFT-CENTER,,HIGH
Al Bawaba,http://www.albawaba.com,mediascopeAll/Al_Bawaba.png,2026-06-20 18:56:37,Jordan,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Al Monitor,https://al-monitor.com,mediascopeAll/Al_Monitor.png,2026-06-03 17:50:47,USA,HIGH,1,LEFT-CENTER,,HIGH
Alabama Political Reporter,https://alreporter.com,mediascopeAll/Alabama_Political_Reporter.png,2026-06-03 17:50:52,USA,HIGH,1,LEAST BIASED,,HIGH
Alabama Reflector,https://alabamareflector.com,mediascopeAll/Alabama_Reflector.png,2026-06-03 17:50:39,USA,HIGH,1,LEFT,,HIGH
Alabama Today,https://altoday.com,mediascopeAll/Alabama_Today.png,2026-06-08 16:43:39,USA,MOSTLY FACTUAL,,RIGHT-CENTER,,HIGH
Alan Guttmacher Institute,https://guttmacher.org,mediascopeAll/Alan_Guttmacher_Institute.png,2026-06-03 17:50:58,USA,HIGH,1,LEFT-CENTER,,HIGH
Albany Democrat-Herald,https://democratherald.com,mediascopeAll/Albany_Democrat-Herald.png,2026-06-03 17:51:37,USA,HIGH,1,LEAST BIASED,,HIGH
Albany Standard,http://albanystandard.com,mediascopeAll/Albany_Standard.png,2026-06-20 20:07:43,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Alberta Views,https://albertaviews.ca,mediascopeAll/Alberta_Views.png,2026-06-03 17:51:24,,HIGH,1,LEFT-CENTER,,HIGH
Aleteia,https://aleteia.org,mediascopeAll/Aleteia.png,2026-06-08 16:43:53,,MIXED,,RIGHT-CENTER,,MIXED
All News Pipeline,http://allnewspipeline.com,mediascopeAll/All_News_Pipeline.png,2026-06-20 20:16:16,USA,LOW,,RIGHT-CENTER,Questionable Source,LOW
AllAfrica,https://allafrica.com,mediascopeAll/AllAfrica.png,2026-06-03 17:51:47,,HIGH,1,LEAST BIASED,,HIGH
Alliance Defending Freedom,http://www.adflegal.org,mediascopeAll/Alliance_Defending_Freedom.png,2026-06-20 19:34:02,USA,LOW,,EXTREME RIGHT,Questionable Source,LOW
Alliance For Securing Democracy,https://securingdemocracy.gmfus.org,mediascopeAll/Alliance_For_Securing_Democracy.png,2026-06-03 17:52:07,USA,HIGH,1,LEAST BIASED,,HIGH
Alliance Review,https://the-review.com,mediascopeAll/Alliance_Review.png,2026-06-03 17:53:10,USA,HIGH,1,LEFT-CENTER,,HIGH
Alpha News,http://alphanewsmn.com,mediascopeAll/Alpha_News.png,2026-06-20 19:52:39,USA,LOW,,RIGHT,Questionable Source,LOW
AlternativeNews.com,https://alternativenews.com,mediascopeAll/AlternativeNews.com.png,2026-06-03 17:52:19,USA,LOW,0,RIGHT,,LOW
Alternet,https://alternet.org,mediascopeAll/Alternet.png,2026-06-08 16:44:28,USA,HIGH,,LEFT,,HIGH
Aluminum.News,https://aluminum.news,mediascopeAll/Aluminum.News.png,2026-06-03 17:52:37,USA,VERY LOW,0,RIGHT,,LOW
Amarillo Globe-News,https://amarillo.com,mediascopeAll/Amarillo_Globe-News.png,2026-06-03 17:54:05,USA,HIGH,1,LEAST BIASED,,HIGH
America First Legal,http://aflegal.org,mediascopeAll/America_First_Legal.png,2026-06-20 22:02:01,USA,LOW,,EXTREME RIGHT,Questionable Source,LOW
America First Report,http://americafirstreport.com,mediascopeAll/America_First_Report.png,2026-06-20 20:16:53,USA,LOW,,RIGHT,Questionable Source,LOW
America Out Loud,http://americaoutloud.com,mediascopeAll/America_Out_Loud.png,2026-06-20 20:00:00,USA,LOW,,RIGHT,Questionable Source,LOW
American Action Network,https://americanactionnetwork.org,mediascopeAll/American_Action_Network.png,2026-06-08 16:44:58,USA,MIXED,,RIGHT-CENTER,,MIXED
American Catholic Tribine,https://americancatholictribune.com,mediascopeAll/American_Catholic_Tribine.png,2026-06-08 16:45:34,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
American Crime Journal,https://americancrimejournal.com,mediascopeAll/American_Crime_Journal.png,2026-06-08 16:45:47,USA,MOSTLY FACTUAL,,LEFT-CENTER,,HIGH
American Enterprise Institute,https://aei.org,mediascopeAll/American_Enterprise_Institute.png,2026-06-08 16:45:56,,MIXED,,RIGHT,,MIXED
American Firearms Institute,https://americanfirearms.org,mediascopeAll/American_Firearms_Institute.png,2026-06-03 17:54:28,USA,HIGH,1,RIGHT-CENTER,,HIGH
American Free Press,https://americanfreepress.net,mediascopeAll/American_Free_Press.png,2026-06-03 17:54:34,USA,LOW,0,RIGHT,,LOW
American Greatness,https://amgreatness.com,mediascopeAll/American_Greatness.png,2026-06-08 16:46:38,USA,MIXED,,RIGHT,,MIXED
American Heritage,https://americanheritage.com,mediascopeAll/American_Heritage.png,2026-06-03 17:54:24,USA,HIGH,1,LEAST BIASED,,HIGH
American Institute for Economic Research,https://aier.org,mediascopeAll/American_Institute_for_Economic_Research.png,2026-06-08 16:46:52,USA,MIXED,,RIGHT-CENTER,,MIXED
American Intelligence Media,https://aim4truth.org,mediascopeAll/American_Intelligence_Media.png,2026-06-03 17:54:28,USA,VERY LOW,0,EXTREME RIGHT,,LOW
American Legislative Exchange Council,https://alec.org,mediascopeAll/American_Legislative_Exchange_Council.png,2026-06-08 16:46:58,USA,MIXED,,RIGHT,,MIXED
American Oversight,https://americanoversight.org,mediascopeAll/American_Oversight.png,2026-06-08 16:47:12,USA,MOSTLY FACTUAL,,LEFT,,HIGH
American Pharmacy News,http://americanpharmacynews.com,mediascopeAll/American_Pharmacy_News.png,2026-06-20 20:45:35,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
American Renaissance Magazine,http://www.amren.com,mediascopeAll/American_Renaissance_Magazine.png,2026-06-20 19:14:22,USA,LOW,,EXTREME RIGHT,Questionable Source,LOW
American Security News,http://americansecuritynews.com,mediascopeAll/American_Security_News.png,2026-06-20 21:33:51,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
"American Society for the Defense of Tradition, Family, and Property",http://www.tfp.org,mediascopeAll/American_Society_for_the_Defense_of_Tradition_Family_and_Property.png,2026-06-20 20:58:14,USA,LOW,,EXTREME RIGHT,Questionable Source,LOW
American Spectator,https://spectator.org,mediascopeAll/American_Spectator.png,2026-06-08 16:47:45,USA,MIXED,,RIGHT,,MIXED
American Thinker,https://americanthinker.com,mediascopeAll/American_Thinker.png,2026-06-03 17:55:08,USA,LOW,0,EXTREME RIGHT,Questionable Source,LOW
Americans for Prosperity,https://americansforprosperity.org,mediascopeAll/Americans_for_Prosperity.png,2026-06-08 16:47:57,USA,MIXED,,RIGHT-CENTER,,MIXED
Americans for Truth,https://americansfortruth.com,mediascopeAll/Americans_for_Truth.png,2026-06-03 17:55:22,USA,VERY LOW,0,EXTREME RIGHT,,LOW
Americas Quarterly,https://americasquarterly.org,mediascopeAll/Americas_Quarterly.png,2026-06-03 17:55:02,USA,HIGH,1,RIGHT-CENTER,,HIGH
Ames Today,http://amestoday.com,mediascopeAll/Ames_Today.png,2026-06-20 22:15:19,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Amherst Bulletin,https://amherstbulletin.com,mediascopeAll/Amherst_Bulletin.png,2026-06-03 19:04:13,USA,HIGH,1,LEFT-CENTER,,HIGH
Ami Magazine,https://amimagazine.org,mediascopeAll/Ami_Magazine.png,2026-06-08 16:48:20,USA,MOSTLY FACTUAL,,RIGHT,,HIGH
Ammoland,https://ammoland.com,mediascopeAll/Ammoland.png,2026-06-08 16:48:23,USA,MOSTLY FACTUAL,,RIGHT,,HIGH
AmoMama,https://news.amomama.com,mediascopeAll/AmoMama.png,2026-06-03 17:55:38,,HIGH,1,LEAST BIASED,,HIGH
Analyzing America,http://analyzingamerica.org,mediascopeAll/Analyzing_America.png,2026-06-20 21:31:57,USA,MIXED,,EXTREME RIGHT,Questionable Source,MIXED
Anderson Independent Mail,https://independentmail.com,mediascopeAll/Anderson_Independent_Mail.png,2026-06-03 17:56:42,USA,HIGH,1,LEFT-CENTER,,HIGH
Anderson Reporter,http://andersonreporter.com,mediascopeAll/Anderson_Reporter.png,2026-06-20 19:27:26,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Angus Reid Institute,https://angusreid.org,mediascopeAll/Angus_Reid_Institute.png,2026-06-03 17:55:45,,HIGH,1,RIGHT-CENTER,,HIGH
Anne Arundel Today,http://annearundeltoday.com,mediascopeAll/Anne_Arundel_Today.png,2026-06-20 20:14:11,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Answers in Genesis,https://answersingenesis.org,mediascopeAll/Answers_in_Genesis.png,2026-06-03 17:56:49,USA,LOW,0,RIGHT,,LOW
Antelope Valley Today,http://antelopevalleytoday.com,mediascopeAll/Antelope_Valley_Today.png,2026-06-20 20:09:33,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Anthropocene Alliance,https://anthropocenealliance.org,mediascopeAll/Anthropocene_Alliance.png,2026-06-03 17:55:50,USA,HIGH,1,LEFT,,HIGH
Anti-War,http://antiwar.com,mediascopeAll/Anti-War.png,2026-06-20 20:36:36,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Antioxidants.News,https://antioxidants.news,mediascopeAll/Antioxidants.News.png,2026-06-03 17:56:00,USA,VERY LOW,0,RIGHT,,LOW
ArcaMax,https://arcamax.com,mediascopeAll/ArcaMax.png,2026-06-08 16:51:36,USA,MOSTLY FACTUAL,,RIGHT-CENTER,,HIGH
Argus Leader,https://argusleader.com,mediascopeAll/Argus_Leader.png,2026-06-03 17:57:12,USA,HIGH,1,RIGHT-CENTER,,HIGH
Arizona Daily Independent,https://arizonadailyindependent.com,mediascopeAll/Arizona_Daily_Independent.png,2026-06-08 16:51:42,USA,MIXED,,RIGHT,,MIXED
Arizona Daily Star,https://tucson.com,mediascopeAll/Arizona_Daily_Star.png,2026-06-03 17:57:32,USA,HIGH,1,LEFT-CENTER,,HIGH
Arizona Daily Sun,https://azdailysun.com,mediascopeAll/Arizona_Daily_Sun.png,2026-06-03 17:58:13,USA,HIGH,1,LEFT-CENTER,,HIGH
Arizona Sun Times,http://arizonasuntimes.com,mediascopeAll/Arizona_Sun_Times.png,2026-06-20 21:07:46,USA,MIXED,,RIGHT,Questionable Source,MIXED
Arkansas Business Daily,http://businessdailynetwork.com/states/ar,mediascopeAll/Arkansas_Business_Daily.png,2026-06-20 20:50:21,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Arkansas Times,https://arktimes.com,mediascopeAll/Arkansas_Times.png,2026-06-03 17:57:25,USA,HIGH,1,LEFT-CENTER,,HIGH
Arms Control Association,https://armscontrol.org,mediascopeAll/Arms_Control_Association.png,2026-06-03 17:58:36,USA,HIGH,1,LEFT-CENTER,,HIGH
Aroostook News,http://aroostooknews.com,mediascopeAll/Aroostook_News.png,2026-06-20 21:02:36,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Arrow Lakes News,https://arrowlakesnews.com,mediascopeAll/Arrow_Lakes_News.png,2026-06-03 17:58:37,,HIGH,1,LEFT-CENTER,,HIGH
Ars Technica,https://arstechnica.com,mediascopeAll/Ars_Technica.png,2026-06-03 17:59:31,USA,HIGH,1,LEAST BIASED,,HIGH
Asheville Citizen-Times,https://citizen-times.com,mediascopeAll/Asheville_Citizen-Times.png,2026-06-03 17:59:59,USA,HIGH,1,LEFT-CENTER,,HIGH
Asian News International,https://aninews.in,mediascopeAll/Asian_News_International.png,2026-06-08 16:53:12,,MIXED,,RIGHT-CENTER,,MIXED
Aspen Institute,https://aspeninstitute.org,mediascopeAll/Aspen_Institute.png,2026-06-03 23:09:41,USA,HIGH,1,LEFT-CENTER,,HIGH
Associated Press,https://apnews.com,mediascopeAll/Associated_Press.png,2026-06-03 18:00:38,USA,HIGH,1,LEFT-CENTER,,HIGH
Athens Reporter,http://athensreporter.com,mediascopeAll/Athens_Reporter.png,2026-06-20 20:57:48,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Athol Daily News,https://atholdailynews.com,mediascopeAll/Athol_Daily_News.png,2026-06-03 17:59:36,USA,HIGH,1,LEFT-CENTER,,HIGH
Atlantic Council,https://atlanticcouncil.org,mediascopeAll/Atlantic_Council.png,2026-06-03 18:00:34,USA,HIGH,1,RIGHT-CENTER,,HIGH
Atlantic County Times,http://atlanticcotimes.com,mediascopeAll/Atlantic_County_Times.png,2026-06-20 20:35:14,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Atlas Obscura,https://atlasobscura.com,mediascopeAll/Atlas_Obscura.png,2026-06-03 18:00:47,USA,HIGH,1,LEAST BIASED,,HIGH
Auburn Reporter,https://auburn-reporter.com,mediascopeAll/Auburn_Reporter.png,2026-06-03 18:01:39,USA,HIGH,1,LEAST BIASED,,HIGH
Auburn Times,http://auburntimes.com,mediascopeAll/Auburn_Times.png,2026-06-20 22:27:02,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Austin American-Statesman,https://statesman.com,mediascopeAll/Austin_American-Statesman.png,2026-06-04 00:10:35,USA,HIGH,1,LEFT-CENTER,,HIGH
Austin Daily Herald,https://austindailyherald.com,mediascopeAll/Austin_Daily_Herald.png,2026-06-03 18:01:48,USA,HIGH,1,LEFT-CENTER,,HIGH
Australian Associated Press,https://www.aap.com.au/,mediascopeAll/Australian_Associated_Press.png,2026-06-03 18:01:41,,HIGH,1,LEAST BIASED,,HIGH
Australian National Review,https://australiannationalreview.com,mediascopeAll/Australian_National_Review.png,2026-06-03 18:02:29,,LOW,0,RIGHT,,LOW
AutoStraddle,https://autostraddle.com,mediascopeAll/AutoStraddle.png,2026-06-08 16:55:36,USA,MIXED,,LEFT,,MIXED
Autoblog,https://autoblog.com,mediascopeAll/Autoblog.png,2026-06-08 16:56:30,USA,MOSTLY FACTUAL,,LEFT-CENTER,,HIGH
Awakening.News,https://awakening.news,mediascopeAll/Awakening.News.png,2026-06-03 18:02:11,USA,VERY LOW,0,RIGHT,,LOW
Ayn Rand Institute,https://newideal.aynrand.org,mediascopeAll/Ayn_Rand_Institute.png,2026-06-08 16:57:41,USA,MIXED,,RIGHT-CENTER,,MIXED
BNO News,https://bnonews.com,mediascopeAll/BNO_News.png,2026-06-03 18:02:19,,HIGH,1,LEAST BIASED,,HIGH
Badger Institute,https://badgerinstitute.org,mediascopeAll/Badger_Institute.png,2026-06-08 16:58:18,USA,MIXED,,RIGHT,,MIXED
Baha Breaking News,https://breakingthenews.net,mediascopeAll/Baha_Breaking_News.png,2026-06-08 16:58:38,,MOSTLY FACTUAL,,LEAST BIASED,,HIGH
Balkan Insight,https://balkaninsight.com,mediascopeAll/Balkan_Insight.png,2026-06-03 18:02:33,,HIGH,1,LEFT-CENTER,,HIGH
Ballotpedia,https://ballotpedia.org,mediascopeAll/Ballotpedia.png,2026-06-03 19:04:32,USA,VERY HIGH,1,LEAST BIASED,,HIGH
Baltimore City Paper,https://baltimoresun.com/citypaper,mediascopeAll/Baltimore_City_Paper.png,2026-06-08 16:59:20,USA,MOSTLY FACTUAL,,LEFT,,HIGH
Baltimore City Wire,http://baltimorecitywire.com,mediascopeAll/Baltimore_City_Wire.png,2026-06-20 20:08:58,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Baltimore Sun,https://baltimoresun.com,mediascopeAll/Baltimore_Sun.png,2026-06-03 18:03:49,USA,HIGH,1,RIGHT-CENTER,,HIGH
BankingDive,https://bankingdive.com,mediascopeAll/BankingDive.png,2026-06-03 18:04:04,USA,HIGH,1,LEAST BIASED,,HIGH
Banned.News,https://banned.news,mediascopeAll/Banned.News.png,2026-06-03 18:03:42,USA,VERY LOW,0,RIGHT,,LOW
Baptist News Global,https://baptistnews.com,mediascopeAll/Baptist_News_Global.png,2026-06-03 18:03:48,USA,HIGH,1,LEFT-CENTER,,HIGH
Bare Naked Islam,https://barenakedislam.com,mediascopeAll/Bare_Naked_Islam.png,2026-06-03 18:04:03,USA,LOW,0,EXTREME RIGHT,Questionable Source,LOW
Bashaw Star,https://bashawstar.com,mediascopeAll/Bashaw_Star.png,2026-06-03 18:04:07,,HIGH,1,LEFT-CENTER,,HIGH
Basildon Echo,https://echo-news.co.uk,mediascopeAll/Basildon_Echo.png,2026-06-03 18:05:17,,HIGH,1,LEAST BIASED,,HIGH
Baton Rouge Reporter,http://batonrougereporter.com,mediascopeAll/Baton_Rouge_Reporter.png,2026-06-20 21:13:55,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Battle Creek Enquirer,https://battlecreekenquirer.com,mediascopeAll/Battle_Creek_Enquirer.png,2026-06-03 18:05:29,USA,HIGH,1,LEFT-CENTER,,HIGH
Battle Creek Times,http://battlecreektimes.com,mediascopeAll/Battle_Creek_Times.png,2026-06-20 20:04:44,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Baxter Bulletin,https://baxterbulletin.com,mediascopeAll/Baxter_Bulletin.png,2026-06-03 18:05:37,USA,HIGH,1,LEFT-CENTER,,HIGH
Bearing Arms,https://bearingarms.com,mediascopeAll/Bearing_Arms.png,2026-06-08 17:00:25,USA,MIXED,,RIGHT,,MIXED
Beaver County Times,https://timesonline.com,mediascopeAll/Beaver_County_Times.png,2026-06-03 18:21:52,USA,HIGH,1,LEFT-CENTER,,HIGH
Beaver State News,http://beaverstatenews.com,mediascopeAll/Beaver_State_News.png,2026-06-20 22:13:11,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Before It’s News,http://beforeitsnews.com,mediascopeAll/Before_It_s_News.png,2026-06-20 19:59:03,USA,LOW,,EXTREME RIGHT,Questionable Source,LOW
Behold Israel,https://beholdisrael.org,mediascopeAll/Behold_Israel.png,2026-06-08 17:00:59,,MIXED,,RIGHT,,MIXED
Being Liberal,https://beingliberal.org,mediascopeAll/Being_Liberal.png,2026-06-08 17:01:14,USA,MOSTLY FACTUAL,,LEFT,,HIGH
Belleville Community Press,https://communitypress.ca,mediascopeAll/Belleville_Community_Press.png,2026-06-03 18:22:05,,HIGH,1,RIGHT-CENTER,,HIGH
Bellevue Reporter,https://bellevuereporter.com,mediascopeAll/Bellevue_Reporter.png,2026-06-03 19:06:05,USA,HIGH,1,LEAST BIASED,,HIGH
Benenson Strategy Group,https://bsgco.com,mediascopeAll/Benenson_Strategy_Group.png,2026-06-08 17:01:35,USA,MIXED,,LEFT-CENTER,,MIXED
Benton Times,http://bentontimes.com,mediascopeAll/Benton_Times.png,2026-06-20 20:58:31,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Benzinga,https://benzinga.com,mediascopeAll/Benzinga.png,2026-06-03 19:06:16,USA,HIGH,1,LEAST BIASED,,HIGH
"Berkley Center for Religion, Peace & World Affairs",https://berkleycenter.georgetown.edu,mediascopeAll/Berkley_Center_for_Religion_Peace_World_Affairs.png,2026-06-03 22:16:41,USA,HIGH,1,LEFT-CENTER,,HIGH
Berkshire Eagle,https://berkshireeagle.com,mediascopeAll/Berkshire_Eagle.png,2026-06-03 22:18:06,USA,HIGH,1,LEFT-CENTER,,HIGH
Big Government News,https://biggovernment.news,mediascopeAll/Big_Government_News.png,2026-06-03 22:16:34,USA,VERY LOW,0,RIGHT,,LOW
Big Island Times,http://bigislandtimes.com,mediascopeAll/Big_Island_Times.png,2026-06-20 21:07:32,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Big Village Polling,https://big-village.com,mediascopeAll/Big_Village_Polling.png,2026-06-08 17:02:36,,MOSTLY FACTUAL,,LEAST BIASED,,HIGH
Bigfork Eagle,https://bigforkeagle.com,mediascopeAll/Bigfork_Eagle.png,2026-06-03 18:22:55,USA,HIGH,1,LEAST BIASED,,HIGH
Biggleswade Chronicle,https://biggleswadetoday.co.uk,mediascopeAll/Biggleswade_Chronicle.png,2026-06-03 18:24:06,,HIGH,1,LEAST BIASED,,HIGH
Bill & Melinda Gates Foundation,https://gatesfoundation.org,mediascopeAll/Bill_Melinda_Gates_Foundation.png,2026-06-03 18:23:21,USA,HIGH,1,LEFT-CENTER,,HIGH
Billings Gazette,https://billingsgazette.com,mediascopeAll/Billings_Gazette.png,2026-06-03 18:23:53,USA,HIGH,1,RIGHT-CENTER,,HIGH
BillionBibles.org,http://www.billionbibles.org,mediascopeAll/BillionBibles.org.png,2026-06-20 20:57:39,USA,VERY LOW,,RIGHT,Questionable Source,LOW
BioPharmaDive,https://biopharmadive.com,mediascopeAll/BioPharmaDive.png,2026-06-03 18:24:28,USA,HIGH,1,LEAST BIASED,,HIGH
Bioterrorism.News,https://bioterrorism.news,mediascopeAll/Bioterrorism.News.png,2026-06-03 18:23:39,USA,VERY LOW,0,RIGHT,,LOW
Birmingham Mail,https://birminghammail.co.uk,mediascopeAll/Birmingham_Mail.png,2026-06-08 17:03:42,,MOSTLY FACTUAL,,LEFT-CENTER,,HIGH
Bismarck Tribune,https://bismarcktribune.com,mediascopeAll/Bismarck_Tribune.png,2026-06-03 23:42:15,USA,HIGH,1,LEAST BIASED,,HIGH
BizNews,https://biznews.com,mediascopeAll/BizNews.png,2026-06-08 17:03:49,,MIXED,,RIGHT-CENTER,,MIXED
BizPac Review,https://bizpacreview.com,mediascopeAll/BizPac_Review.png,2026-06-08 17:04:21,USA,MIXED,,RIGHT,,MIXED
Blabber Buzz,https://blabber.buzz,mediascopeAll/Blabber_Buzz.png,2026-06-08 17:04:54,USA,MIXED,,RIGHT,,MIXED
Black Agenda Report,https://blackagendareport.com,mediascopeAll/Black_Agenda_Report.png,2026-06-08 17:05:01,USA,MIXED,,LEFT,,MIXED
Black Community NEws,https://blackcommunitynews.com,mediascopeAll/Black_Community_NEws.png,2026-06-08 17:05:27,,MIXED,,RIGHT,,MIXED
Black Ennterprise Magazine,https://blackenterprise.com,mediascopeAll/Black_Ennterprise_Magazine.png,2026-06-03 18:25:15,USA,HIGH,1,LEFT-CENTER,,HIGH
Bleeping Computer,https://bleepingcomputer.com,mediascopeAll/Bleeping_Computer.png,2026-06-03 18:24:45,USA,HIGH,1,LEAST BIASED,,HIGH
Block Telegraph,https://blocktelegraph.io,mediascopeAll/Block_Telegraph.png,2026-06-08 17:06:22,USA,MOSTLY FACTUAL,,LEFT-CENTER,,HIGH
Bluegrass Times,http://bluegrasstimes.com,mediascopeAll/Bluegrass_Times.png,2026-06-20 22:15:43,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
Blueprint Newspaper,https://blueprint.ng,mediascopeAll/Blueprint_Newspaper.png,2026-06-08 17:07:25,,MOSTLY FACTUAL,,LEAST BIASED,,HIGH
