media_name,url,image_path,timestamp,country,factuality,trustworthiness
Greenfield Recorder,https://recorder.com,sample_snapshots_mixed/Greenfield_Recorder.png,2026-06-11 15:26:41,USA,HIGH,1
Hampshire Chronicle,https://hampshirechronicle.co.uk,sample_snapshots_mixed/Hampshire_Chronicle.png,2026-06-11 15:26:41,,HIGH,1
Harford News,https://harfordnews.com,sample_snapshots_mixed/Harford_News_20260608_191427.png,2026-06-11 15:26:41,USA,MIXED,
Herbs.News,https://herbs.news,sample_snapshots_mixed/Herbs.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Intercessors for America,https://ifapray.org,sample_snapshots_mixed/Intercessors_for_America.png,2026-06-11 15:26:41,USA,LOW,0
Iroquois Times-Republic,https://newsbug.info/iroquois_countys_times-republic/,sample_snapshots_mixed/Iroquois_Times-Republic.png,2026-06-11 15:26:41,,HIGH,1
Israel21c,https://israel21c.org,sample_snapshots_mixed/Israel21c.png,2026-06-11 15:26:41,,HIGH,1
Judicial Watch,https://judicialwatch.org,sample_snapshots_mixed/Judicial_Watch.png,2026-06-11 15:26:41,USA,LOW,0
Just Facts,https://justfacts.com,sample_snapshots_mixed/Just_Facts_20260608_195146.png,2026-06-11 15:26:41,USA,MIXED,
KEYC - Mankato News,https://keyc.com,sample_snapshots_mixed/KEYC_-_Mankato_News.png,2026-06-11 15:26:41,USA,HIGH,1
KRCC - NPR - Colorado Springs,https://cpr.org/krcc,sample_snapshots_mixed/KRCC_-_NPR_-_Colorado_Springs.png,2026-06-11 15:26:41,USA,HIGH,1
KSFO - 560 AM - San Francisco,https://ksfo.com,sample_snapshots_mixed/KSFO_-_560_AM_-_San_Francisco_20260608_195615.png,2026-06-11 15:26:41,USA,MIXED,
Keighley News,https://keighleynews.co.uk,sample_snapshots_mixed/Keighley_News.png,2026-06-11 15:26:41,,HIGH,1
Lansing Sun,https://lansingsun.com,sample_snapshots_mixed/Lansing_Sun_20260608_200157.png,2026-06-11 15:26:41,USA,MIXED,
Last Frontier News,https://lastfrontiernews.com,sample_snapshots_mixed/Last_Frontier_News_20260608_200233.png,2026-06-11 15:26:41,USA,MIXED,
Lead Stories,https://leadstories.com,sample_snapshots_mixed/Lead_Stories.png,2026-06-11 15:26:41,USA,VERY HIGH,1
League of Conservation Voters,https://lcv.org,sample_snapshots_mixed/League_of_Conservation_Voters_20260608_200323.png,2026-06-11 15:26:41,USA,MIXED,
Little Apple Times,https://littleappletimes.com,sample_snapshots_mixed/Little_Apple_Times_20260608_200550.png,2026-06-11 15:26:41,USA,MIXED,
Macroevolution.net,https://macroevolution.net,sample_snapshots_mixed/Macroevolution.net.png,2026-06-11 15:26:41,USA,LOW,0
Maine Business Daily,https://mainebusinessdaily.com,sample_snapshots_mixed/Maine_Business_Daily_20260608_200853.png,2026-06-11 15:26:41,USA,MIXED,
Maine Lakes News,https://mainelakesnews.com,sample_snapshots_mixed/Maine_Lakes_News_20260608_200928.png,2026-06-11 15:26:41,USA,MIXED,
Marion-Morrow Times,https://marionmorrowtimes.com,sample_snapshots_mixed/Marion-Morrow_Times_20260608_201043.png,2026-06-11 15:26:41,USA,MIXED,
MedicalTyranny,https://medicaltyranny.com,sample_snapshots_mixed/MedicalTyranny.png,2026-06-11 15:26:41,USA,VERY LOW,0
Melfort Journal,https://melfortjournal.com,sample_snapshots_mixed/Melfort_Journal.png,2026-06-11 15:26:41,,HIGH,1
MichaelSalla.com,https://michaelsalla.com,sample_snapshots_mixed/MichaelSalla.com.png,2026-06-11 15:26:41,USA,LOW,0
Middle East Forum,https://meforum.org,sample_snapshots_mixed/Middle_East_Forum.png,2026-06-11 15:26:41,USA,LOW,0
Mind Matters,https://mindmatters.ai,sample_snapshots_mixed/Mind_Matters.png,2026-06-11 15:26:41,USA,LOW,0
Mobile Courant,https://mobilecourant.com,sample_snapshots_mixed/Mobile_Courant_20260608_201811.png,2026-06-11 15:26:41,USA,MIXED,
NE Kentucky News,https://nekentuckynews.com,sample_snapshots_mixed/NE_Kentucky_News_20260608_202746.png,2026-06-11 15:26:41,USA,MIXED,
NW Connecticut News,https://nwconnnews.com,sample_snapshots_mixed/NW_Connecticut_News_20260608_203156.png,2026-06-11 15:26:41,USA,MIXED,
National File,https://nationalfile.com,sample_snapshots_mixed/National_File.png,2026-06-11 15:26:41,USA,LOW,0
New Discourses,https://newdiscourses.com,sample_snapshots_mixed/New_Discourses.png,2026-06-11 15:26:41,USA,LOW,0
Newport Daily News,https://newportri.com,sample_snapshots_mixed/Newport_Daily_News.png,2026-06-11 15:26:41,USA,HIGH,1
NoTricksZone,https://notrickszone.com,sample_snapshots_mixed/NoTricksZone.png,2026-06-11 15:26:41,,LOW,0
North Idaho Times,https://northidahotimes.com,sample_snapshots_mixed/North_Idaho_Times_20260608_204918.png,2026-06-11 15:26:41,USA,MIXED,
North OKC News,https://northokcnews.com,sample_snapshots_mixed/North_OKC_News_20260608_205233.png,2026-06-11 15:26:41,USA,MIXED,
North Pima News,https://northpimanews.com,sample_snapshots_mixed/North_Pima_News_20260608_205344.png,2026-06-11 15:26:41,USA,MIXED,
NowThisNews,https://nowmedianetwork.co,sample_snapshots_mixed/NowThisNews_20260608_205747.png,2026-06-11 15:26:41,USA,MIXED,
PA Media,https://pa.media,sample_snapshots_mixed/PA_Media.png,2026-06-11 15:26:41,,VERY HIGH,1
PackagingDive,https://packagingdive.com,sample_snapshots_mixed/PackagingDive.png,2026-06-11 15:26:41,USA,HIGH,1
Pandemic News,https://pandemic.news,sample_snapshots_mixed/Pandemic_News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Pew Research,https://pewresearch.org,sample_snapshots_mixed/Pew_Research.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Plymouth Reporter,https://plymouthreporter.com,sample_snapshots_mixed/Plymouth_Reporter_20260608_211054.png,2026-06-11 15:26:41,USA,MIXED,
Procon.org,https://procon.org,sample_snapshots_mixed/Procon.org.png,2026-06-11 15:26:41,USA,HIGH,1
Project Syndicate,https://project-syndicate.org,sample_snapshots_mixed/Project_Syndicate.png,2026-06-11 15:26:41,,HIGH,1
Public Religion Research Institute,https://prri.org,sample_snapshots_mixed/Public_Religion_Research_Institute.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Puebla Post,https://pueblapost.com,sample_snapshots_mixed/Puebla_Post_20260608_211330.png,2026-06-11 15:26:41,,MIXED,
Queen Creek Tribune,https://queencreektribune.com,sample_snapshots_mixed/Queen_Creek_Tribune.png,2026-06-11 15:26:41,USA,HIGH,1
Red State Watcher,https://redstatewatcher.com,sample_snapshots_mixed/Red_State_Watcher.png,2026-06-11 15:26:41,USA,LOW,0
Renew America,https://renewamerica.com,sample_snapshots_mixed/Renew_America.png,2026-06-11 15:26:41,USA,LOW,0
Represent.us,https://represent.us,sample_snapshots_mixed/Represent.us.png,2026-06-11 15:26:41,,HIGH,1
River Bend Times,https://riverbendtimes.com,sample_snapshots_mixed/River_Bend_Times_20260608_212331.png,2026-06-11 15:26:41,USA,MIXED,
Roll Call,https://rollcall.com,sample_snapshots_mixed/Roll_Call.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Ruth Institute,https://ruthinstitute.org,sample_snapshots_mixed/Ruth_Institute.png,2026-06-11 15:26:41,USA,LOW,0
SE Oklahoma News,https://seoklahomanews.com,sample_snapshots_mixed/SE_Oklahoma_News_20260608_213026.png,2026-06-11 15:26:41,USA,MIXED,
San Miguel Post,https://sanmiguelpost.com,sample_snapshots_mixed/San_Miguel_Post_20260608_213813.png,2026-06-11 15:26:41,,MIXED,
Savannah Morning News,https://savannahnow.com,sample_snapshots_mixed/Savannah_Morning_News.png,2026-06-11 15:26:41,USA,HIGH,1
ScienceClowns,https://scienceclowns.com,sample_snapshots_mixed/ScienceClowns.png,2026-06-11 15:26:41,USA,VERY LOW,0
Seaforth Huron Expositor,https://seaforthhuronexpositor.com,sample_snapshots_mixed/Seaforth_Huron_Expositor.png,2026-06-11 15:26:41,,HIGH,1
Sentencing Project,https://sentencingproject.org,sample_snapshots_mixed/Sentencing_Project.png,2026-06-11 15:26:41,USA,HIGH,1
Sioux City Times,https://siouxcitytimes.com,sample_snapshots_mixed/Sioux_City_Times_20260608_214557.png,2026-06-11 15:26:41,USA,MIXED,
Slay News,https://slaynews.com,sample_snapshots_mixed/Slay_News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Somerset Daily American,https://dailyamerican.com,sample_snapshots_mixed/Somerset_Daily_American.png,2026-06-11 15:26:41,USA,HIGH,1
South Mecklenburg News,https://southmecklenburgnews.com,sample_snapshots_mixed/South_Mecklenburg_News_20260608_215351.png,2026-06-11 15:26:41,USA,MIXED,
South News Castle News,https://southnewcastlenews.com,sample_snapshots_mixed/South_News_Castle_News_20260608_215427.png,2026-06-11 15:26:41,USA,MIXED,
Sputnik,https://sputnikglobe.com,sample_snapshots_mixed/Sputnik.png,2026-06-11 15:26:41,,VERY LOW,0
St. George Spectrum,https://thespectrum.com,sample_snapshots_mixed/St._George_Spectrum.png,2026-06-11 15:26:41,USA,HIGH,1
Suffolk Reporter,https://suffolkreporter.com,sample_snapshots_mixed/Suffolk_Reporter_20260608_220117.png,2026-06-11 15:26:41,USA,MIXED,
Survival.News,https://survival.news,sample_snapshots_mixed/Survival.News_1.png,2026-06-11 15:26:41,USA,VERY LOW,0
TechGiants.News,https://techgiants.news,sample_snapshots_mixed/TechGiants.News_1.png,2026-06-11 15:26:41,USA,VERY LOW,0
Technocrats.News,https://technocrats.news,sample_snapshots_mixed/Technocrats.News_1.png,2026-06-11 15:26:41,USA,VERY LOW,0
The Colorado Herald,https://thecoloradoherald.com,sample_snapshots_mixed/The_Colorado_Herald.png,2026-06-11 15:26:41,,LOW,0
The Gateway Pundit,https://thegatewaypundit.com,sample_snapshots_mixed/The_Gateway_Pundit.png,2026-06-11 15:26:41,USA,VERY LOW,0
The Last American Vagabond,https://thelastamericanvagabond.com,sample_snapshots_mixed/The_Last_American_Vagabond.png,2026-06-11 15:26:41,USA,LOW,0
The Michigan Independent,https://michiganindependent.com,sample_snapshots_mixed/The_Michigan_Independent_20260608_221313.png,2026-06-11 15:26:41,USA,MIXED,
The Phaser,https://thephaser.com,sample_snapshots_mixed/The_Phaser.png,2026-06-11 15:26:41,USA,VERY LOW,0
The Recount,https://therecount.com,sample_snapshots_mixed/The_Recount.png,2026-06-11 15:26:41,,HIGH,1
The Thinking Conservative,https://thethinkingconservative.com,sample_snapshots_mixed/The_Thinking_Conservative.png,2026-06-11 15:26:41,USA,LOW,0
The Watson Center,https://cnu.edu/wasoncenter/,sample_snapshots_mixed/The_Watson_Center.png,2026-06-11 15:26:41,USA,HIGH,1
The Wellness Company,https://twc.health,sample_snapshots_mixed/The_Wellness_Company.png,2026-06-11 15:26:41,USA,LOW,0
TheSpectator.info,https://thespectator.info,sample_snapshots_mixed/TheSpectator.info_1.png,2026-06-11 15:26:41,USA,VERY LOW,0
This Day Live,https://thisdaylive.com,sample_snapshots_mixed/This_Day_Live_20260608_221701.png,2026-06-11 15:26:41,,MIXED,
ThoughtCo,https://thoughtco.com,sample_snapshots_mixed/ThoughtCo.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Totality of Evidence,https://totalityofevidence.com,sample_snapshots_mixed/Totality_of_Evidence.png,2026-06-11 15:26:41,,VERY LOW,0
Trading Economics,https://tradingeconomics.com,sample_snapshots_mixed/Trading_Economics.png,2026-06-11 15:26:41,,HIGH,1
Truth for Health Foundation,https://truthforhealth.org,sample_snapshots_mixed/Truth_for_Health_Foundation.png,2026-06-11 15:26:41,USA,VERY LOW,0
TruthorFiction.com,https://truthorfiction.com,sample_snapshots_mixed/TruthorFiction.com.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Tsarizm,https://tsarizm.com,sample_snapshots_mixed/Tsarizm.png,2026-06-11 15:26:41,USA,LOW,0
Tyranny.News,https://tyranny.news,sample_snapshots_mixed/Tyranny.News_1.png,2026-06-11 15:26:41,USA,VERY LOW,0
US Backlash,https://usbacklash.org,sample_snapshots_mixed/US_Backlash.png,2026-06-11 15:26:41,USA,VERY LOW,0
Vaccine Impact,https://vaccineimpact.com,sample_snapshots_mixed/Vaccine_Impact.png,2026-06-11 15:26:41,USA,VERY LOW,0
VaccineDamage.News,https://vaccinedamage.news,sample_snapshots_mixed/VaccineDamage.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
VaccineInjuryNews,https://vaccineinjurynews.com,sample_snapshots_mixed/VaccineInjuryNews.png,2026-06-11 15:26:41,USA,VERY LOW,0
Vaccines and Christianity,https://vaccinesandchristianity.org,sample_snapshots_mixed/Vaccines_and_Christianity.png,2026-06-11 15:26:41,USA,VERY LOW,0
Veracruz Daily Post,https://veracruzdailypost.com,sample_snapshots_mixed/Veracruz_Daily_Post_20260608_222517.png,2026-06-11 15:26:41,,MIXED,
Vigilante.TV,https://vigilante.TV,sample_snapshots_mixed/Vigilante.TV.png,2026-06-11 15:26:41,,VERY LOW,0
WJCT - NPR - Jacksonville,https://news.wjct.org,sample_snapshots_mixed/WJCT_-_NPR_-_Jacksonville.png,2026-06-11 15:26:41,USA,HIGH,1
WLS - 890AM - Chicago,https://wlsam.com,sample_snapshots_mixed/WLS_-_890AM_-_Chicago_20260608_222952.png,2026-06-11 15:26:41,USA,MIXED,
WLT Report,https://wltreport.com,sample_snapshots_mixed/WLT_Report.png,2026-06-11 15:26:41,USA,LOW,0
WMNF - NPR - Tampa,https://wmnf.org,sample_snapshots_mixed/WMNF_-_NPR_-_Tampa.png,2026-06-11 15:26:41,USA,HIGH,1
Washington Stand,https://washingtonstand.com,sample_snapshots_mixed/Washington_Stand.png,2026-06-11 15:26:41,USA,LOW,0
We The People Daily,https://wethepeopledaily.com,sample_snapshots_mixed/We_The_People_Daily.png,2026-06-11 15:26:41,USA,LOW,0
Woodstock Sentinel-Review,https://woodstocksentinelreview.com,sample_snapshots_mixed/Woodstock_Sentinel-Review.png,2026-06-11 15:26:41,,HIGH,1
WorldTimeTodays,https://worldtimetodays.com,sample_snapshots_mixed/WorldTimeTodays_20260608_224243.png,2026-06-11 15:26:41,USA,MIXED,
X Strategies,https://xstrategies.com,sample_snapshots_mixed/X_Strategies.png,2026-06-11 15:26:41,USA,LOW,0
XYZ.net.au,https://xyz.net.au,sample_snapshots_mixed/XYZ.net.au.png,2026-06-11 15:26:41,,LOW,0
ZDNet,https://zdnet.com,sample_snapshots_mixed/ZDNet.png,2026-06-11 15:26:41,USA,HIGH,1
Zerohedge,https://zerohedge.com,sample_snapshots_mixed/Zerohedge.png,2026-06-11 15:26:41,,LOW,0
