media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias,genre,credibility,media_type,freedom_rating,traffic,genre_class
American Intelligence Media,https://aim4truth.org,sub-samples/American_Intelligence_Media.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
"American Society for the Defense of Tradition, Family, and Property",https://tfp.org,sub-samples/American_Society_for_the_Defense_of_Tradition_Family_and_Property.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
American Thinker,https://americanthinker.com,sub-samples/American_Thinker.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Americans for Truth,https://americansfortruth.com,sub-samples/Americans_for_Truth.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Answers in Genesis,https://answersingenesis.org,sub-samples/Answers_in_Genesis.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,MOSTLY FREE,,PSEUDOSCIENCE
Antioxidants.News,https://antioxidants.news,sub-samples/Antioxidants.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Arizona Capitol Times,https://azcapitoltimes.com,sub-samples/Arizona_Capitol_Times.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Arizona Republic,https://azcentral.com,sub-samples/Arizona_Republic.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Armed Forces Press,https://armedforces.press,sub-samples/Armed_Forces_Press.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
Austin American-Statesman,https://statesman.com,sub-samples/Austin_American-Statesman.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Australian National Review,https://australiannationalreview.com,sub-samples/Australian_National_Review.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Awakening.News,https://awakening.news,sub-samples/Awakening.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Ballotpedia,https://ballotpedia.org,sub-samples/Ballotpedia.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Politics,HIGH CREDIBILITY,,,,OTHER
Banned.News,https://banned.news,sub-samples/Banned.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Bare Naked Islam,https://barenakedislam.com,sub-samples/Bare_Naked_Islam.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Biased.News,https://biased.news,sub-samples/Biased.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Big Government News,https://biggovernment.news,sub-samples/Big_Government_News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Biggleswade Chronicle,https://biggleswadetoday.co.uk,sub-samples/Biggleswade_Chronicle.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Bill & Melinda Gates Foundation,https://gatesfoundation.org,sub-samples/Bill_Melinda_Gates_Foundation.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
BillionBibles.org,https://billionbibles.org,sub-samples/BillionBibles.org.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Bioterrorism.News,https://bioterrorism.news,sub-samples/Bioterrorism.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Bleeping Computer,https://bleepingcomputer.com,sub-samples/Bleeping_Computer.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Boston.com,https://boston.com,sub-samples/Boston.com.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Boundless,https://boundless.com,sub-samples/Boundless.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Breakthrough Institute,https://thebreakthrough.org,sub-samples/Breakthrough_Institute.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Environmental Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Bullshido,https://bullshido.net,sub-samples/Bullshido.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
CDC.News,https://cdc.news,sub-samples/CDC.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
CX Dive,https://customerexperiencedive.com,sub-samples/CX_Dive.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
CaliforniaCollapse.News,https://californiacollapse.news,sub-samples/CaliforniaCollapse.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Canton Repository,https://cantonrep.com,sub-samples/Canton_Repository.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Capital Gazette,https://capitalgazette.com,sub-samples/Capital_Gazette.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Ceasefire Magazine,https://ceasefiremagazine.co.uk,sub-samples/Ceasefire_Magazine.png,2026-06-05 01:48:52,,HIGH,1,LEFT,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Censored.news,https://censored.news,sub-samples/Censored.news.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Censorship.News,https://censorship.news,sub-samples/Censorship.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Center for Immigration Studies,https://cis.org,sub-samples/Center_for_Immigration_Studies.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Center for Law and Social Policy,https://clasp.org,sub-samples/Center_for_Law_and_Social_Policy.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Center for Popular Democracy,https://populardemocracy.org,sub-samples/Center_for_Popular_Democracy.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,,,OTHER
Center for Strategic and International studies,https://csis.org,sub-samples/Center_for_Strategic_and_International_studies.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Political Advocacy,HIGH CREDIBILITY,,,,OTHER
Cherokee Tribune,https://tribuneledgernews.com,sub-samples/Cherokee_Tribune.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Christian Science,https://christianscience.com,sub-samples/Christian_Science.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Christian Truth Center,https://christiantruthcenter.com,sub-samples/Christian_Truth_Center.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT,Politics,LOW CREDIBILITY,,,,OTHER
CitizenGo,https://citizengo.org,sub-samples/CitizenGo.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Religious Advocacy,LOW CREDIBILITY,,MOSTLY FREE,,OTHER
Clarksville Leaf Chronicle,https://theleafchronicle.com,sub-samples/Clarksville_Leaf_Chronicle.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
ClimateScienceNews,https://climatesciencenews.com,sub-samples/ClimateScienceNews.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Clover Chronicle,https://cloverchronicle.com,sub-samples/Clover_Chronicle.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Colorado Free Press,https://coloradofreepress.com,sub-samples/Colorado_Free_Press.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
Committee to Investigate Russia,https://investigaterussia.org,sub-samples/Committee_to_Investigate_Russia.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,,,OTHER
Concerned Women for America,https://concernedwomen.org,sub-samples/Concerned_Women_for_America.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Connecticut Centinal,https://connecticutcentinal.com,sub-samples/Connecticut_Centinal.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
Conspiracy Daily Update,https://conspiracydailyupdate.com,sub-samples/Conspiracy_Daily_Update.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Constitution Daily,https://constitutioncenter.org,sub-samples/Constitution_Daily.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Education,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Corpus Christi Caller-Times,https://caller.com,sub-samples/Corpus_Christi_Caller-Times.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Covid Call to Humanity,https://covidcalltohumanity.org,sub-samples/Covid_Call_to_Humanity.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Cranbrook Townsman,https://cranbrooktownsman.com,sub-samples/Cranbrook_Townsman.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Creation-Evolution Headlines,https://crev.info,sub-samples/Creation-Evolution_Headlines.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Creation Ministries International,https://creation.com,sub-samples/Creation_Ministries_International.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,MOSTLY FREE,,PSEUDOSCIENCE
Creative Destruction Media - CD Media,https://creativedestructionmedia.com,sub-samples/Creative_Destruction_Media_-_CD_Media.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Creston Valley Advance,https://crestonvalleyadvance.ca,sub-samples/Creston_Valley_Advance.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Cronkite News,https://cronkitenews.azpbs.org,sub-samples/Cronkite_News.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Culture Wars Magazine,https://culturewars.com,sub-samples/Culture_Wars_Magazine.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
CyberWar.News,https://cyberwar.news,sub-samples/CyberWar.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
DCReport.org,https://dcreport.org,sub-samples/DCReport.org.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Daily Dot,https://dailydot.com,sub-samples/Daily_Dot.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Daily Headlines,https://dailyheadlines.net,sub-samples/Daily_Headlines.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Daily Press,https://dailypress.com,sub-samples/Daily_Press.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Daily Veracity,https://dailyveracity.com,sub-samples/Daily_Veracity.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Deadline Hollywood,https://deadline.com,sub-samples/Deadline_Hollywood.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Entertainment,HIGH CREDIBILITY,,,,OTHER
Democracy 21,https://democracy21.org,sub-samples/Democracy_21.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,,,OTHER
Discern Report,https://discernreport.com,sub-samples/Discern_Report.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Discoveries.News,https://discoveries.news,sub-samples/Discoveries.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Downsizing the Federal Government,https://downsizinggovernment.org,sub-samples/Downsizing_the_Federal_Government.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
ESG Dive,https://esgdive.com,sub-samples/ESG_Dive.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Technology,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
E&E News,https://eenews.net,sub-samples/E_E_News.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
East-West Center,https://eastwestcenter.org,sub-samples/East-West_Center.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Government,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
East London and West Essex Guardian,https://guardian-series.co.uk,sub-samples/East_London_and_West_Essex_Guardian.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Echo Check,https://echocheck.org,sub-samples/Echo_Check.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,,,IMPOSTER
Ecology News,https://ecology.news,sub-samples/Ecology_News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Economist Intelligence Unit,https://eiu.com,sub-samples/Economist_Intelligence_Unit.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,,,OTHER
Edmonton Journal,https://edmontonjournal.com,sub-samples/Edmonton_Journal.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
El Nuevo Dia,https://elnuevodia.com,sub-samples/El_Nuevo_Dia.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,,,OTHER
El Paso Times,https://elpasotimes.com,sub-samples/El_Paso_Times.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Escape all these Things,https://escapeallthesethings.com,sub-samples/Escape_all_these_Things.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Exopolitics,https://exopolitics.org,sub-samples/Exopolitics.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Extinction.News,https://extinction.news,sub-samples/Extinction.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
FDA.News,https://fda.news,sub-samples/FDA.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Facilities Dive,https://facilitiesdive.com,sub-samples/Facilities_Dive.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
FactCheck.News,https://factcheck.news,sub-samples/FactCheck.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
FactCheck.org,https://factcheck.org,sub-samples/FactCheck.org.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Fact Checkers,HIGH CREDIBILITY,,,,OTHER
Fernie Free Press,https://thefreepress.ca,sub-samples/Fernie_Free_Press.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Fully Human,https://fully-human.org,sub-samples/Fully_Human.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT,Politics,LOW CREDIBILITY,,,,OTHER
Gear.News,https://gear.news,sub-samples/Gear.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
George Record,https://georgiarecord.com,sub-samples/George_Record.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
Gingrich 360,https://gingrich360.com,sub-samples/Gingrich_360.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Glasgow Times,https://glasgowtimes.co.uk,sub-samples/Glasgow_Times.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Haaretz,https://haaretz.com,sub-samples/Haaretz.png,2026-06-05 01:48:52,,HIGH,1,LEFT,General News,HIGH CREDIBILITY,,MODERATE FREEDOM,,OTHER
Hanover Evening Sun,https://eveningsun.com,sub-samples/Hanover_Evening_Sun.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
HealthRangerInvenstions.com,https://healthrangerinventions.com,sub-samples/HealthRangerInvenstions.com.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Herbs.News,https://herbs.news,sub-samples/Herbs.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Investopedia,https://investopedia.com,sub-samples/Investopedia.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Economics/Finance,HIGH CREDIBILITY,,,,OTHER
Iroquois Times-Republic,https://newsbug.info/iroquois_countys_times-republic/,sub-samples/Iroquois_Times-Republic.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Israel Unwired,https://israelunwired.com,sub-samples/Israel_Unwired.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
KAIT8-TV,https://kait8.com,sub-samples/KAIT8-TV.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,TV,MOSTLY FREE,,OTHER
Knutsford Guardian,https://knutsfordguardian.co.uk,sub-samples/Knutsford_Guardian.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
LaGrange Daily News,https://lagrangenews.com,sub-samples/LaGrange_Daily_News.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Lead Stories,https://leadstories.com,sub-samples/Lead_Stories.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Fact Checkers,HIGH CREDIBILITY,,,,OTHER
Leicester Mercury,https://leicestermercury.co.uk,sub-samples/Leicester_Mercury.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
LifeWire,https://lifewire.com,sub-samples/LifeWire.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Technology,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Life Site News,https://lifesitenews.com,sub-samples/Life_Site_News.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,EXCELLENT,,PSEUDOSCIENCE
Loudon County News-Herald,https://news-herald.net,sub-samples/Loudon_County_News-Herald.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Macroevolution.net,https://macroevolution.net,sub-samples/Macroevolution.net.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
MarketBeat,https://marketbeat.com,sub-samples/MarketBeat.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Economics/Finance,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
MedicalTyranny,https://medicaltyranny.com,sub-samples/MedicalTyranny.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Melfort Journal,https://melfortjournal.com,sub-samples/Melfort_Journal.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Men Going Their Own Way,https://mgtow.tv,sub-samples/Men_Going_Their_Own_Way.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Miami Independent,https://miamiindependent.com,sub-samples/Miami_Independent.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
Middle East Forum,https://meforum.org,sub-samples/Middle_East_Forum.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Mongabay,https://news.mongabay.com,sub-samples/Mongabay.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Environmental Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
New Discourses,https://newdiscourses.com,sub-samples/New_Discourses.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
New Zealand Doctors Speaking Out with Science,https://nzdsos.com,sub-samples/New_Zealand_Doctors_Speaking_Out_with_Science.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Owen Sound Sun Times,https://owensoundsuntimes.com,sub-samples/Owen_Sound_Sun_Times.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
PA Media,https://pa.media,sub-samples/PA_Media.png,2026-06-05 01:48:52,,VERY HIGH,1,LEAST BIASED,Fact Checkers,HIGH CREDIBILITY,,,,OTHER
Pandemic News,https://pandemic.news,sub-samples/Pandemic_News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
