media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias_rating,MBFC_source
ABC11 Eyewitness News,https://abc11.com,mediascopeAll/ABC11_Eyewitness_News.png,2026-06-03 17:42:40,USA,HIGH,1,LEFT-CENTER,
ABQ Times,http://abqtimes.com,mediascopeAll/ABQ_Times.png,2026-06-20 19:41:06,USA,MIXED,,RIGHT-CENTER,Questionable Source
ABS-CBN,https://news.abs-cbn.com,mediascopeAll/ABS-CBN.png,2026-06-03 17:42:04,,HIGH,1,LEAST BIASED,
ABT Associates,https://abtassociates.com,mediascopeAll/ABT_Associates.png,2026-06-03 17:43:09,,HIGH,1,LEFT-CENTER,
APM Reports,https://apmreports.org,mediascopeAll/APM_Reports.png,2026-06-03 17:42:22,USA,HIGH,1,LEFT-CENTER,
APTN National News,https://aptnnews.ca,mediascopeAll/APTN_National_News.png,2026-06-03 17:43:01,,HIGH,1,LEFT-CENTER,
ATL Standard,http://atlstandard.com,mediascopeAll/ATL_Standard.png,2026-06-20 19:59:43,USA,MIXED,,RIGHT-CENTER,Questionable Source
AV Club,https://avclub.com,mediascopeAll/AV_Club.png,2026-06-03 17:43:08,USA,HIGH,1,LEFT-CENTER,
Aberdeen American News,https://aberdeennews.com,mediascopeAll/Aberdeen_American_News.png,2026-06-03 17:43:56,USA,HIGH,1,LEFT-CENTER,
Abilene Reporter-News,https://reporternews.com,mediascopeAll/Abilene_Reporter-News.png,2026-06-03 17:44:25,USA,HIGH,1,LEFT-CENTER,
Accuracy in Media,https://aim.org,mediascopeAll/Accuracy_in_Media.png,2026-06-08 16:40:23,USA,MIXED,,RIGHT,
Act.TV,https://act.tv,mediascopeAll/Act.TV.png,2026-06-08 16:40:37,USA,MOSTLY FACTUAL,,LEFT,
Ad Fontes Media,https://adfontesmedia.com,mediascopeAll/Ad_Fontes_Media.png,2026-06-03 17:44:20,USA,HIGH,1,LEAST BIASED,
Ada Reporter,http://adareporter.com,mediascopeAll/Ada_Reporter.png,2026-06-20 21:42:05,USA,MIXED,,RIGHT-CENTER,Questionable Source
Adams County Times,http://adamscountytimes.com,mediascopeAll/Adams_County_Times.png,2026-06-20 19:37:19,USA,MIXED,,RIGHT-CENTER,Questionable Source
Adams.News,https://adams.news,mediascopeAll/Adams.News.png,2026-06-03 17:43:50,USA,VERY LOW,0,RIGHT,
Addiction.News,https://addiction.news,mediascopeAll/Addiction.News.png,2026-06-03 17:44:00,USA,VERY LOW,0,RIGHT,
Advocates for Self-Government,https://theadvocates.org,mediascopeAll/Advocates_for_Self-Government.png,2026-06-08 16:41:20,USA,MOSTLY FACTUAL,,RIGHT-CENTER,
Adweek,https://adweek.com,mediascopeAll/Adweek.png,2026-06-03 22:16:04,USA,HIGH,1,LEAST BIASED,
Aeon,https://aeon.co,mediascopeAll/Aeon.png,2026-06-03 17:44:29,,HIGH,1,LEFT-CENTER,
Affinity Magazine,https://affinitymagazine.us,mediascopeAll/Affinity_Magazine.png,2026-06-08 16:41:39,USA,MIXED,,LEFT-CENTER,
African Arguments,https://africanarguments.org,mediascopeAll/African_Arguments.png,2026-06-03 17:45:28,,HIGH,1,LEFT-CENTER,
AgricultureDive,https://agriculturedive.com,mediascopeAll/AgricultureDive.png,2026-06-03 17:45:01,USA,HIGH,1,LEAST BIASED,
Ahsland Times-Gazette,https://times-gazette.com,mediascopeAll/Ahsland_Times-Gazette.png,2026-06-03 17:49:56,USA,HIGH,1,LEFT-CENTER,
Air Force Times,https://airforcetimes.com,mediascopeAll/Air_Force_Times.png,2026-06-03 17:50:12,USA,HIGH,1,LEAST BIASED,
Airdrie City View,https://airdriecityview.com,mediascopeAll/Airdrie_City_View.png,2026-06-03 17:50:13,,HIGH,1,LEFT-CENTER,
Airwars,https://airwars.org,mediascopeAll/Airwars.png,2026-06-03 17:45:52,,HIGH,1,LEAST BIASED,
Akron Beacon Journal,https://beaconjournal.com,mediascopeAll/Akron_Beacon_Journal.png,2026-06-03 17:51:18,USA,HIGH,1,LEFT-CENTER,
Akron Reporter,http://akronreporter.com,mediascopeAll/Akron_Reporter.png,2026-06-20 21:22:10,USA,MIXED,,RIGHT-CENTER,Questionable Source
Al Bawaba,http://www.albawaba.com,mediascopeAll/Al_Bawaba.png,2026-06-20 18:56:37,Jordan,MIXED,,RIGHT-CENTER,Questionable Source
Al Monitor,https://al-monitor.com,mediascopeAll/Al_Monitor.png,2026-06-03 17:50:47,USA,HIGH,1,LEFT-CENTER,
Alabama Business Daily,http://businessdailynetwork.com/states/al,mediascopeAll/Alabama_Business_Daily.png,2026-06-20 22:20:52,USA,MIXED,,RIGHT-CENTER,Questionable Source
Alabama Political Reporter,https://alreporter.com,mediascopeAll/Alabama_Political_Reporter.png,2026-06-03 17:50:52,USA,HIGH,1,LEAST BIASED,
Alabama Reflector,https://alabamareflector.com,mediascopeAll/Alabama_Reflector.png,2026-06-03 17:50:39,USA,HIGH,1,LEFT,
Alabama Today,https://altoday.com,mediascopeAll/Alabama_Today.png,2026-06-08 16:43:39,USA,MOSTLY FACTUAL,,RIGHT-CENTER,
Alan Guttmacher Institute,https://guttmacher.org,mediascopeAll/Alan_Guttmacher_Institute.png,2026-06-03 17:50:58,USA,HIGH,1,LEFT-CENTER,
Albany Democrat-Herald,https://democratherald.com,mediascopeAll/Albany_Democrat-Herald.png,2026-06-03 17:51:37,USA,HIGH,1,LEAST BIASED,
Albany Standard,http://albanystandard.com,mediascopeAll/Albany_Standard.png,2026-06-20 20:07:43,USA,MIXED,,RIGHT-CENTER,Questionable Source
Alberta Views,https://albertaviews.ca,mediascopeAll/Alberta_Views.png,2026-06-03 17:51:24,,HIGH,1,LEFT-CENTER,
Albuquerque Journal,https://abqjournal.com,mediascopeAll/Albuquerque_Journal.png,2026-06-03 17:51:57,USA,HIGH,1,RIGHT-CENTER,
Aleteia,https://aleteia.org,mediascopeAll/Aleteia.png,2026-06-08 16:43:53,,MIXED,,RIGHT-CENTER,
All News Pipeline,http://allnewspipeline.com,mediascopeAll/All_News_Pipeline.png,2026-06-20 20:16:16,USA,LOW,,RIGHT-CENTER,Questionable Source
AllAfrica,https://allafrica.com,mediascopeAll/AllAfrica.png,2026-06-03 17:51:47,,HIGH,1,LEAST BIASED,
Alliance Defending Freedom,http://www.adflegal.org,mediascopeAll/Alliance_Defending_Freedom.png,2026-06-20 19:34:02,USA,LOW,,EXTREME RIGHT,Questionable Source
Alliance For Securing Democracy,https://securingdemocracy.gmfus.org,mediascopeAll/Alliance_For_Securing_Democracy.png,2026-06-03 17:52:07,USA,HIGH,1,LEAST BIASED,
Alliance Review,https://the-review.com,mediascopeAll/Alliance_Review.png,2026-06-03 17:53:10,USA,HIGH,1,LEFT-CENTER,
Aloha State News,http://alohastatenews.com,mediascopeAll/Aloha_State_News.png,2026-06-20 21:00:28,USA,MIXED,,RIGHT-CENTER,Questionable Source
Alpha News,http://alphanewsmn.com,mediascopeAll/Alpha_News.png,2026-06-20 19:52:39,USA,LOW,,RIGHT,Questionable Source
AlternativeNews.com,https://alternativenews.com,mediascopeAll/AlternativeNews.com.png,2026-06-03 17:52:19,USA,LOW,0,RIGHT,
Alternet,https://alternet.org,mediascopeAll/Alternet.png,2026-06-08 16:44:28,USA,HIGH,,LEFT,
Aluminum.News,https://aluminum.news,mediascopeAll/Aluminum.News.png,2026-06-03 17:52:37,USA,VERY LOW,0,RIGHT,
Amandla,https://aidc.org.za/amandla-media/,mediascopeAll/Amandla.png,2026-06-03 17:53:29,,HIGH,1,LEFT,
Amarillo Globe-News,https://amarillo.com,mediascopeAll/Amarillo_Globe-News.png,2026-06-03 17:54:05,USA,HIGH,1,LEAST BIASED,
America First Legal,http://aflegal.org,mediascopeAll/America_First_Legal.png,2026-06-20 22:02:01,USA,LOW,,EXTREME RIGHT,Questionable Source
America First Report,http://americafirstreport.com,mediascopeAll/America_First_Report.png,2026-06-20 20:16:53,USA,LOW,,RIGHT,Questionable Source
America Out Loud,http://americaoutloud.com,mediascopeAll/America_Out_Loud.png,2026-06-20 20:00:00,USA,LOW,,RIGHT,Questionable Source
American Action Network,https://americanactionnetwork.org,mediascopeAll/American_Action_Network.png,2026-06-08 16:44:58,USA,MIXED,,RIGHT-CENTER,
American Affairs Journal,https://americanaffairsjournal.org,mediascopeAll/American_Affairs_Journal.png,2026-06-03 17:53:57,USA,HIGH,1,RIGHT-CENTER,
American Catholic Tribine,https://americancatholictribune.com,mediascopeAll/American_Catholic_Tribine.png,2026-06-08 16:45:34,USA,MIXED,,RIGHT-CENTER,Questionable Source
American Center for Law & Justice,https://ACLJ.org,mediascopeAll/American_Center_for_Law_Justice.png,2026-06-08 16:45:35,USA,MIXED,,RIGHT,
American Crime Journal,https://americancrimejournal.com,mediascopeAll/American_Crime_Journal.png,2026-06-08 16:45:47,USA,MOSTLY FACTUAL,,LEFT-CENTER,
American Enterprise Institute,https://aei.org,mediascopeAll/American_Enterprise_Institute.png,2026-06-08 16:45:56,,MIXED,,RIGHT,
American Firearms Institute,https://americanfirearms.org,mediascopeAll/American_Firearms_Institute.png,2026-06-03 17:54:28,USA,HIGH,1,RIGHT-CENTER,
American Free Press,https://americanfreepress.net,mediascopeAll/American_Free_Press.png,2026-06-03 17:54:34,USA,LOW,0,RIGHT,
American Greatness,https://amgreatness.com,mediascopeAll/American_Greatness.png,2026-06-08 16:46:38,USA,MIXED,,RIGHT,
American Heritage,https://americanheritage.com,mediascopeAll/American_Heritage.png,2026-06-03 17:54:24,USA,HIGH,1,LEAST BIASED,
American Institute for Economic Research,https://aier.org,mediascopeAll/American_Institute_for_Economic_Research.png,2026-06-08 16:46:52,USA,MIXED,,RIGHT-CENTER,
American Intelligence Media,https://aim4truth.org,mediascopeAll/American_Intelligence_Media.png,2026-06-03 17:54:28,USA,VERY LOW,0,EXTREME RIGHT,
American Legislative Exchange Council,https://alec.org,mediascopeAll/American_Legislative_Exchange_Council.png,2026-06-08 16:46:58,USA,MIXED,,RIGHT,
American Oversight,https://americanoversight.org,mediascopeAll/American_Oversight.png,2026-06-08 16:47:12,USA,MOSTLY FACTUAL,,LEFT,
American Pharmacy News,http://americanpharmacynews.com,mediascopeAll/American_Pharmacy_News.png,2026-06-20 20:45:35,USA,MIXED,,RIGHT-CENTER,Questionable Source
American Renaissance Magazine,http://www.amren.com,mediascopeAll/American_Renaissance_Magazine.png,2026-06-20 19:14:22,USA,LOW,,EXTREME RIGHT,Questionable Source
American Security News,http://americansecuritynews.com,mediascopeAll/American_Security_News.png,2026-06-20 21:33:51,USA,MIXED,,RIGHT-CENTER,Questionable Source
"American Society for the Defense of Tradition, Family, and Property",http://www.tfp.org,mediascopeAll/American_Society_for_the_Defense_of_Tradition_Family_and_Property.png,2026-06-20 20:58:14,USA,LOW,,EXTREME RIGHT,Questionable Source
American Spectator,https://spectator.org,mediascopeAll/American_Spectator.png,2026-06-08 16:47:45,USA,MIXED,,RIGHT,
American Thinker,https://americanthinker.com,mediascopeAll/American_Thinker.png,2026-06-03 17:55:08,USA,LOW,0,EXTREME RIGHT,Questionable Source
Americans United for Separation of Church and State,https://au.org,mediascopeAll/Americans_United_for_Separation_of_Church_and_State.png,2026-06-03 23:40:50,USA,HIGH,1,LEFT,
Americans for Prosperity,https://americansforprosperity.org,mediascopeAll/Americans_for_Prosperity.png,2026-06-08 16:47:57,USA,MIXED,,RIGHT-CENTER,
Americans for Truth,https://americansfortruth.com,mediascopeAll/Americans_for_Truth.png,2026-06-03 17:55:22,USA,VERY LOW,0,EXTREME RIGHT,
Americas Quarterly,https://americasquarterly.org,mediascopeAll/Americas_Quarterly.png,2026-06-03 17:55:02,USA,HIGH,1,RIGHT-CENTER,
Ames Today,http://amestoday.com,mediascopeAll/Ames_Today.png,2026-06-20 22:15:19,USA,MIXED,,RIGHT-CENTER,Questionable Source
Amherst Bulletin,https://amherstbulletin.com,mediascopeAll/Amherst_Bulletin.png,2026-06-03 19:04:13,USA,HIGH,1,LEFT-CENTER,
Ami Magazine,https://amimagazine.org,mediascopeAll/Ami_Magazine.png,2026-06-08 16:48:20,USA,MOSTLY FACTUAL,,RIGHT,
Ammoland,https://ammoland.com,mediascopeAll/Ammoland.png,2026-06-08 16:48:23,USA,MOSTLY FACTUAL,,RIGHT,
Amnesty International,https://amnesty.org,mediascopeAll/Amnesty_International.png,2026-06-03 17:55:32,,HIGH,1,LEFT-CENTER,
AmoMama,https://news.amomama.com,mediascopeAll/AmoMama.png,2026-06-03 17:55:38,,HIGH,1,LEAST BIASED,
Analytics India Magazine,https://analyticsindiamag.com,mediascopeAll/Analytics_India_Magazine.png,2026-06-08 16:49:14,,MOSTLY FACTUAL,,RIGHT-CENTER,
Analyzing America,http://analyzingamerica.org,mediascopeAll/Analyzing_America.png,2026-06-20 21:31:57,USA,MIXED,,EXTREME RIGHT,Questionable Source
Anderson Independent Mail,https://independentmail.com,mediascopeAll/Anderson_Independent_Mail.png,2026-06-03 17:56:42,USA,HIGH,1,LEFT-CENTER,
Anderson Reporter,http://andersonreporter.com,mediascopeAll/Anderson_Reporter.png,2026-06-20 19:27:26,USA,MIXED,,RIGHT-CENTER,Questionable Source
Angus Reid Institute,https://angusreid.org,mediascopeAll/Angus_Reid_Institute.png,2026-06-03 17:55:45,,HIGH,1,RIGHT-CENTER,
Ann Arbor Times,http://annarbortimes.com,mediascopeAll/Ann_Arbor_Times.png,2026-06-20 20:39:06,USA,MIXED,,RIGHT-CENTER,Questionable Source
Anne Arundel Today,http://annearundeltoday.com,mediascopeAll/Anne_Arundel_Today.png,2026-06-20 20:14:11,USA,MIXED,,RIGHT-CENTER,Questionable Source
Anoka Times,http://anokatimes.com,mediascopeAll/Anoka_Times.png,2026-06-20 21:08:00,USA,MIXED,,RIGHT-CENTER,Questionable Source
Answers in Genesis,https://answersingenesis.org,mediascopeAll/Answers_in_Genesis.png,2026-06-03 17:56:49,USA,LOW,0,RIGHT,
Antelope Valley Today,http://antelopevalleytoday.com,mediascopeAll/Antelope_Valley_Today.png,2026-06-20 20:09:33,USA,MIXED,,RIGHT-CENTER,Questionable Source
Anthropocene Alliance,https://anthropocenealliance.org,mediascopeAll/Anthropocene_Alliance.png,2026-06-03 17:55:50,USA,HIGH,1,LEFT,
Anti-War,http://antiwar.com,mediascopeAll/Anti-War.png,2026-06-20 20:36:36,USA,MIXED,,RIGHT-CENTER,Questionable Source
Antioxidants.News,https://antioxidants.news,mediascopeAll/Antioxidants.News.png,2026-06-03 17:56:00,USA,VERY LOW,0,RIGHT,
ArcaMax,https://arcamax.com,mediascopeAll/ArcaMax.png,2026-06-08 16:51:36,USA,MOSTLY FACTUAL,,RIGHT-CENTER,
Argus Leader,https://argusleader.com,mediascopeAll/Argus_Leader.png,2026-06-03 17:57:12,USA,HIGH,1,RIGHT-CENTER,
Arizona Capitol Times,https://azcapitoltimes.com,mediascopeAll/Arizona_Capitol_Times.png,2026-06-03 17:56:35,USA,HIGH,1,LEFT-CENTER,
Arizona Daily Independent,https://arizonadailyindependent.com,mediascopeAll/Arizona_Daily_Independent.png,2026-06-08 16:51:42,USA,MIXED,,RIGHT,
Arizona Daily Star,https://tucson.com,mediascopeAll/Arizona_Daily_Star.png,2026-06-03 17:57:32,USA,HIGH,1,LEFT-CENTER,
Arizona Daily Sun,https://azdailysun.com,mediascopeAll/Arizona_Daily_Sun.png,2026-06-03 17:58:13,USA,HIGH,1,LEFT-CENTER,
Arizona Republic,https://azcentral.com,mediascopeAll/Arizona_Republic.png,2026-06-03 17:58:15,USA,HIGH,1,LEFT-CENTER,
Arizona Sun Times,http://arizonasuntimes.com,mediascopeAll/Arizona_Sun_Times.png,2026-06-20 21:07:46,USA,MIXED,,RIGHT,Questionable Source
Arkansas Business Daily,http://businessdailynetwork.com/states/ar,mediascopeAll/Arkansas_Business_Daily.png,2026-06-20 20:50:21,USA,MIXED,,RIGHT-CENTER,Questionable Source
Arkansas Times,https://arktimes.com,mediascopeAll/Arkansas_Times.png,2026-06-03 17:57:25,USA,HIGH,1,LEFT-CENTER,
Arlington Heights Daily Herald,https://dailyherald.com,mediascopeAll/Arlington_Heights_Daily_Herald.png,2026-06-03 17:58:22,USA,HIGH,1,RIGHT-CENTER,
Armed Forces Press,http://armedforces.press,mediascopeAll/Armed_Forces_Press.png,2026-06-20 21:57:52,USA,LOW,,EXTREME RIGHT,Questionable Source
Arms Control Association,https://armscontrol.org,mediascopeAll/Arms_Control_Association.png,2026-06-03 17:58:36,USA,HIGH,1,LEFT-CENTER,
Armstrong Economics,https://armstrongeconomics.com,mediascopeAll/Armstrong_Economics.png,2026-06-08 16:52:33,USA,MIXED,,RIGHT,
Army Times,https://armytimes.com,mediascopeAll/Army_Times.png,2026-06-03 17:59:15,USA,HIGH,1,LEAST BIASED,
Aroostook News,http://aroostooknews.com,mediascopeAll/Aroostook_News.png,2026-06-20 21:02:36,USA,MIXED,,RIGHT-CENTER,Questionable Source
Arrow Lakes News,https://arrowlakesnews.com,mediascopeAll/Arrow_Lakes_News.png,2026-06-03 17:58:37,,HIGH,1,LEFT-CENTER,
Ars Technica,https://arstechnica.com,mediascopeAll/Ars_Technica.png,2026-06-03 17:59:31,USA,HIGH,1,LEAST BIASED,
Asheville Citizen-Times,https://citizen-times.com,mediascopeAll/Asheville_Citizen-Times.png,2026-06-03 17:59:59,USA,HIGH,1,LEFT-CENTER,
Asheville Reporter,http://Ashevillereporter.com,mediascopeAll/Asheville_Reporter.png,2026-06-20 20:01:35,USA,MIXED,,RIGHT-CENTER,Questionable Source
Asia Times,https://asiatimes.com,mediascopeAll/Asia_Times.png,2026-06-08 16:53:05,,MOSTLY FACTUAL,,LEAST BIASED,
Asian News International,https://aninews.in,mediascopeAll/Asian_News_International.png,2026-06-08 16:53:12,,MIXED,,RIGHT-CENTER,
Aspen Institute,https://aspeninstitute.org,mediascopeAll/Aspen_Institute.png,2026-06-03 23:09:41,USA,HIGH,1,LEFT-CENTER,
Associated Press,https://apnews.com,mediascopeAll/Associated_Press.png,2026-06-03 18:00:38,USA,HIGH,1,LEFT-CENTER,
Athens Reporter,http://athensreporter.com,mediascopeAll/Athens_Reporter.png,2026-06-20 20:57:48,USA,MIXED,,RIGHT-CENTER,Questionable Source
Athol Daily News,https://atholdailynews.com,mediascopeAll/Athol_Daily_News.png,2026-06-03 17:59:36,USA,HIGH,1,LEFT-CENTER,
Atlanta Black Star,https://atlantablackstar.com,mediascopeAll/Atlanta_Black_Star.png,2026-06-08 16:53:35,USA,MOSTLY FACTUAL,,LEFT-CENTER,
Atlantic Council,https://atlanticcouncil.org,mediascopeAll/Atlantic_Council.png,2026-06-03 18:00:34,USA,HIGH,1,RIGHT-CENTER,
Atlantic County Times,http://atlanticcotimes.com,mediascopeAll/Atlantic_County_Times.png,2026-06-20 20:35:14,USA,MIXED,,RIGHT-CENTER,Questionable Source
Atlantic,https://theatlantic.com,mediascopeAll/Atlantic.png,2026-06-03 18:00:52,USA,HIGH,1,LEFT-CENTER,
Atlas Obscura,https://atlasobscura.com,mediascopeAll/Atlas_Obscura.png,2026-06-03 18:00:47,USA,HIGH,1,LEAST BIASED,
AtlasIntel,https://atlasintel.org,mediascopeAll/AtlasIntel.png,2026-06-03 18:00:43,,VERY HIGH,1,LEAST BIASED,
Auburn Reporter,https://auburn-reporter.com,mediascopeAll/Auburn_Reporter.png,2026-06-03 18:01:39,USA,HIGH,1,LEAST BIASED,
Auburn Times,http://auburntimes.com,mediascopeAll/Auburn_Times.png,2026-06-20 22:27:02,USA,MIXED,,RIGHT-CENTER,Questionable Source
Austin American-Statesman,https://statesman.com,mediascopeAll/Austin_American-Statesman.png,2026-06-04 00:10:35,USA,HIGH,1,LEFT-CENTER,
Austin Daily Herald,https://austindailyherald.com,mediascopeAll/Austin_Daily_Herald.png,2026-06-03 18:01:48,USA,HIGH,1,LEFT-CENTER,
Australian Associated Press,https://www.aap.com.au/,mediascopeAll/Australian_Associated_Press.png,2026-06-03 18:01:41,,HIGH,1,LEAST BIASED,
Australian National Review,https://australiannationalreview.com,mediascopeAll/Australian_National_Review.png,2026-06-03 18:02:29,,LOW,0,RIGHT,
AutoStraddle,https://autostraddle.com,mediascopeAll/AutoStraddle.png,2026-06-08 16:55:36,USA,MIXED,,LEFT,
Autoblog,https://autoblog.com,mediascopeAll/Autoblog.png,2026-06-08 16:56:30,USA,MOSTLY FACTUAL,,LEFT-CENTER,
AutomotiveDive,https://automotivedive.com,mediascopeAll/AutomotiveDive.png,2026-06-03 18:02:50,USA,HIGH,1,LEAST BIASED,
Awakening.News,https://awakening.news,mediascopeAll/Awakening.News.png,2026-06-03 18:02:11,USA,VERY LOW,0,RIGHT,
Ayn Rand Institute,https://newideal.aynrand.org,mediascopeAll/Ayn_Rand_Institute.png,2026-06-08 16:57:41,USA,MIXED,,RIGHT-CENTER,
BDNews24,https://bdnews24.com,mediascopeAll/BDNews24.png,2026-06-08 16:57:59,,MIXED,,LEFT-CENTER,Questionable Source
BNO News,https://bnonews.com,mediascopeAll/BNO_News.png,2026-06-03 18:02:19,,HIGH,1,LEAST BIASED,
Badger Institute,https://badgerinstitute.org,mediascopeAll/Badger_Institute.png,2026-06-08 16:58:18,USA,MIXED,,RIGHT,
Baha Breaking News,https://breakingthenews.net,mediascopeAll/Baha_Breaking_News.png,2026-06-08 16:58:38,,MOSTLY FACTUAL,,LEAST BIASED,
Baja California Post,http://bajacaliforniapost.com,mediascopeAll/Baja_California_Post.png,2026-06-20 18:57:48,Unknown,MIXED,,LEFT-CENTER,Questionable Source
Baldwin Times,http://baldwintimes.com,mediascopeAll/Baldwin_Times.png,2026-06-20 19:54:07,USA,MIXED,,RIGHT-CENTER,Questionable Source
Balkan Insight,https://balkaninsight.com,mediascopeAll/Balkan_Insight.png,2026-06-03 18:02:33,,HIGH,1,LEFT-CENTER,
Ballotpedia,https://ballotpedia.org,mediascopeAll/Ballotpedia.png,2026-06-03 19:04:32,USA,VERY HIGH,1,LEAST BIASED,
Baltimore City Paper,https://baltimoresun.com/citypaper,mediascopeAll/Baltimore_City_Paper.png,2026-06-08 16:59:20,USA,MOSTLY FACTUAL,,LEFT,
Baltimore City Wire,http://baltimorecitywire.com,mediascopeAll/Baltimore_City_Wire.png,2026-06-20 20:08:58,USA,MIXED,,RIGHT-CENTER,Questionable Source
Baltimore Sun,https://baltimoresun.com,mediascopeAll/Baltimore_Sun.png,2026-06-03 18:03:49,USA,HIGH,1,RIGHT-CENTER,
Banbury Guardian,https://banburyguardian.co.uk,mediascopeAll/Banbury_Guardian.png,2026-06-03 23:41:54,,HIGH,1,LEAST BIASED,
BankingDive,https://bankingdive.com,mediascopeAll/BankingDive.png,2026-06-03 18:04:04,USA,HIGH,1,LEAST BIASED,
Banned.News,https://banned.news,mediascopeAll/Banned.News.png,2026-06-03 18:03:42,USA,VERY LOW,0,RIGHT,
Baptist News Global,https://baptistnews.com,mediascopeAll/Baptist_News_Global.png,2026-06-03 18:03:48,USA,HIGH,1,LEFT-CENTER,
Bare Naked Islam,https://barenakedislam.com,mediascopeAll/Bare_Naked_Islam.png,2026-06-03 18:04:03,USA,LOW,0,EXTREME RIGHT,Questionable Source
Bartlesville Examiner-Enterprise,https://examiner-enterprise.com,mediascopeAll/Bartlesville_Examiner-Enterprise.png,2026-06-03 18:05:09,USA,HIGH,1,LEFT-CENTER,
Bashaw Star,https://bashawstar.com,mediascopeAll/Bashaw_Star.png,2026-06-03 18:04:07,,HIGH,1,LEFT-CENTER,
Basildon Echo,https://echo-news.co.uk,mediascopeAll/Basildon_Echo.png,2026-06-03 18:05:17,,HIGH,1,LEAST BIASED,
Baton Rouge Reporter,http://batonrougereporter.com,mediascopeAll/Baton_Rouge_Reporter.png,2026-06-20 21:13:55,USA,MIXED,,RIGHT-CENTER,Questionable Source
Battle Creek Enquirer,https://battlecreekenquirer.com,mediascopeAll/Battle_Creek_Enquirer.png,2026-06-03 18:05:29,USA,HIGH,1,LEFT-CENTER,
Battle Creek Times,http://battlecreektimes.com,mediascopeAll/Battle_Creek_Times.png,2026-06-20 20:04:44,USA,MIXED,,RIGHT-CENTER,Questionable Source
Baxter Bulletin,https://baxterbulletin.com,mediascopeAll/Baxter_Bulletin.png,2026-06-03 18:05:37,USA,HIGH,1,LEFT-CENTER,
Bearing Arms,https://bearingarms.com,mediascopeAll/Bearing_Arms.png,2026-06-08 17:00:25,USA,MIXED,,RIGHT,
Beaver County Times,https://timesonline.com,mediascopeAll/Beaver_County_Times.png,2026-06-03 18:21:52,USA,HIGH,1,LEFT-CENTER,
Beaver State News,http://beaverstatenews.com,mediascopeAll/Beaver_State_News.png,2026-06-20 22:13:11,USA,MIXED,,RIGHT-CENTER,Questionable Source
Before It’s News,http://beforeitsnews.com,mediascopeAll/Before_It_s_News.png,2026-06-20 19:59:03,USA,LOW,,EXTREME RIGHT,Questionable Source
Behold Israel,https://beholdisrael.org,mediascopeAll/Behold_Israel.png,2026-06-08 17:00:59,,MIXED,,RIGHT,
Being Liberal,https://beingliberal.org,mediascopeAll/Being_Liberal.png,2026-06-08 17:01:14,USA,MOSTLY FACTUAL,,LEFT,
Belfer Center for Science and International Affairs,https://belfercenter.org,mediascopeAll/Belfer_Center_for_Science_and_International_Affairs.png,2026-06-03 18:05:58,USA,HIGH,1,LEFT-CENTER,
Belleville Community Press,https://communitypress.ca,mediascopeAll/Belleville_Community_Press.png,2026-06-03 18:22:05,,HIGH,1,RIGHT-CENTER,
